,Year,Make,Model,Overall,Quality_And_Reliability,Driving_Experience,Resale
1611,2012,SUBARU,FORESTER,66,77,62,73
1612,2012,SUBARU,LEGACY,71,78,64,75
1613,2012,TOYOTA,4RUNNER,80,82,71,88
1614,2012,TOYOTA,AVALON,82,86,66,73
1615,2012,TOYOTA,CAMRY,81,87,72,78
1616,2012,TOYOTA,CAMRY HYBRID,81,87,72,78
1617,2012,TOYOTA,COROLLA,76,89,65,78
1618,2012,TOYOTA,FJ CRUISER,78,88,70,78
1619,2012,TOYOTA,HIGHLANDER,79,85,71,77
1620,2012,TOYOTA,HIGHLANDER HYBRID,79,85,71,77
1621,2012,TOYOTA,PRIUS,72,86,64,74
1622,2012,TOYOTA,PRIUS PLUG-IN HYBRID,72,86,64,74
1623,2012,TOYOTA,RAV4,72,86,61,80
1624,2012,TOYOTA,SEQUOIA,77,74,72,74
1625,2012,TOYOTA,SIENNA,80,83,74,77
1626,2012,TOYOTA,TACOMA DOUBLE CAB,73,83,58,89
1627,2012,TOYOTA,TACOMA REGULAR CAB,81,81,61,89
1628,2012,TOYOTA,TUNDRA CREWMAX,81,81,61,89
1629,2012,TOYOTA,VENZA,78,85,70,75
1630,2012,TOYOTA,YARIS,69,88,65,71
1631,2012,VOLKSWAGEN,BEETLE,68,67,77,72
1632,2012,VOLKSWAGEN,CC,72,68,73,67
1633,2012,VOLKSWAGEN,EOS,71,73,77,69
1634,2012,VOLKSWAGEN,GTI,72,67,85,70
1635,2012,VOLKSWAGEN,GOLF,79,81,82,70
1636,2012,VOLKSWAGEN,GOLF R,79,81,82,70
1637,2012,VOLKSWAGEN,JETTA,70,73,75,70
1638,2012,VOLKSWAGEN,JETTA SPORTWAGEN,70,73,75,70
1639,2012,VOLKSWAGEN,PASSAT,74,73,78,69
1640,2012,VOLKSWAGEN,TIGUAN,72,71,85,69
1641,2012,VOLKSWAGEN,TOUAREG,74,66,75,70
1642,2012,VOLVO,S60,75,76,66,68
1643,2012,VOLVO,XC60,69,64,67,70
1644,2012,VOLVO,XC70,76,77,64,69
1645,2012,VOLVO,XC90,63,61,56,71
1646,2011,ACURA,MDX,82,82,69,73
1647,2011,ACURA,RDX,79,85,61,69
1648,2011,ACURA,TL,84,88,67,73
1649,2011,AUDI,A3,74,76,64,69
1650,2011,AUDI,A6,81,82,70,67
1651,2011,AUDI,Q5,77,73,75,68
1652,2011,AUDI,Q7,68,55,75,70
1653,2011,BMW,1 SERIES,77,75,68,75
1654,2011,BMW,3 SERIES,79,79,74,66
1655,2011,BMW,7 SERIES,90,83,84,65
1656,2011,BMW,X3,79,76,78,66
1657,2011,BMW,X5,79,74,76,67
1658,2011,BMW,X5 M,79,74,76,67
1659,2011,BMW,X6 M,86,86,69,93
1660,2011,BUICK,ENCLAVE,79,84,73,69
1661,2011,BUICK,LACROSSE,79,85,59,73
1662,2011,BUICK,LUCERNE,79,92,50,71
1663,2011,BUICK,REGAL,66,69,68,70
1664,2011,CADILLAC,DTS,89,94,61,70
1665,2011,CADILLAC,ESCALADE ESV,86,87,64,73
1666,2011,CADILLAC,ESCALADE EXT,86,87,64,73
1667,2011,CADILLAC,SRX,74,77,61,71
1668,2011,CHEVROLET,CAMARO,82,83,78,76
1669,2011,CHEVROLET,COLORADO REGULAR CAB,65,78,54,77
1670,2011,CHEVROLET,CORVETTE,87,84,72,83
1671,2011,CHEVROLET,CRUZE,67,72,70,70
1672,2011,CHEVROLET,EQUINOX,69,76,70,73
1673,2011,CHEVROLET,HHR,65,76,61,75
1674,2011,CHEVROLET,MALIBU,74,85,64,73
1675,2011,CHEVROLET,SUBURBAN,72,74,58,77
1676,2011,CHEVROLET,TRAVERSE,68,72,66,72
1677,2011,CHEVROLET,VOLT,84,90,81,69
1678,2011,CHRYSLER,TOWN & COUNTRY,64,68,65,69
1679,2011,DODGE,CALIBER,59,76,54,67
1680,2011,DODGE,DURANGO,82,76,84,79
1681,2011,DODGE,GRAND CARAVAN PASSENGER,56,63,56,69
1682,2011,DODGE,GRAND CARAVAN CARGO,56,63,56,69
1683,2011,DODGE,JOURNEY,64,69,65,67
