,Year,Make,Model,Overall,Quality_And_Reliability,Driving_Experience,Resale
592,2017,Audi,A4,85,82,85,72
595,2017,Audi,A6,84,80,79,71
596,2017,Audi,A7,88,85,85,72
597,2017,Audi,Q3,77,75,76,72
598,2017,Audi,Q5,77,70,75,73
599,2017,Audi,Q7,85,78,84,75
603,2017,BMW,2 Series,86,88,80,89
604,2017,BMW,3 Series,82,83,79,70
605,2017,BMW,4 Series,86,88,82,74
606,2017,BMW,X1,77,77,76,70
607,2017,BMW,X3,83,85,77,71
608,2017,BMW,X4,85,84,86,72
609,2017,BMW,X5,85,84,81,73
610,2017,BMW,X6,91,90,90,74
611,2017,BMW,X6 M,91,90,90,74
612,2017,BMW,i3,79,83,74,72
613,2017,Buick,Enclave,83,88,80,73
614,2017,Buick,Encore,81,87,83,79
615,2017,Buick,Envision,82,87,82,73
616,2017,Buick,LaCrosse,81,82,70,75
617,2017,Buick,Regal,77,82,69,75
622,2017,Cadillac,CT6,83,78,76,68
623,2017,Cadillac,Escalade,84,75,73,77
624,2017,Cadillac,Escalade ESV,84,75,73,77
625,2017,Cadillac,XT5,81,75,72,73
626,2017,Cadillac,XTS,84,78,78,69
627,2017,Chevrolet,Camaro,77,73,80,79
628,2017,Chevrolet,COLORADO REGULAR CAB,77,81,69,83
629,2017,Chevrolet,Corvette,85,83,75,90
630,2017,Chevrolet,Cruze,80,84,80,81
631,2017,Chevrolet,Equinox,79,84,78,79
632,2017,Chevrolet,Impala,81,80,76,78
633,2017,Chevrolet,Malibu,79,80,76,80
634,2017,Chevrolet,SILVERADO 1500 EXTENDED CAB,86,86,76,93
635,2017,Chevrolet,SILVERADO 2500 HD CREW CAB,84,83,74,94
636,2017,Chevrolet,SILVERADO 3500 HD DOUBLE CAB,84,83,74,94
637,2017,Chevrolet,Sonic,76,80,81,76
638,2017,Chevrolet,Spark,70,79,71,69
639,2017,Chevrolet,Suburban,83,81,76,83
640,2017,Chevrolet,Tahoe,87,85,85,88
641,2017,Chevrolet,Traverse,76,79,72,77
642,2017,Chevrolet,Trax,72,75,76,79
643,2017,Chevrolet,Volt,70,74,70,74
644,2017,Chrysler,200,71,71,76,78
